name,singer,singer_id,duration,link
Namore Kothia,Bhupen Hazarika|Anju Devi,/artist/dr-bhupen-hazarika-2|/artist/anju-devi,07:11,https://gaana.com//song/namore-kothia
Jai A Kanu,Khagen Mahanta,/artist/khagen-mahanta,04:41,https://gaana.com//song/jai-a-kanu
Tuamaki Roana,sibcharan das,/artist/sibcharan-das,03:11,https://gaana.com//song/tuamaki-roana
Surat Magan Bhayal Rati,Jayanta Hazarika,/artist/jayanta-hazarika,04:02,https://gaana.com//song/surat-magan-bhayal-rati
Buku Ham Ham Kore,Bhupen Hazarika,/artist/dr-bhupen-hazarika-2,03:23,https://gaana.com//song/buku-ham-ham-kore-1
Bhal Poa Mor,sibcharan das,/artist/sibcharan-das,02:54,https://gaana.com//song/bhal-poa-mor
O Siparar Baandhu,Manna Dey|Bhupen Hazarika,/artist/manna-dey|/artist/dr-bhupen-hazarika-2,05:00,https://gaana.com//song/a-siparar-baandhu
Alfolia Kopou Phool,Dwipen Baruah|Namita Bhattacharya,/artist/dwipen-baruah|/artist/namita-bhattacharya,03:24,https://gaana.com//song/alfolia-kopou-phool
Kapili Kapili,Bhupen Hazarika,/artist/dr-bhupen-hazarika-2,03:15,https://gaana.com//song/kapili-kapili
Gouri Puriya Gavoru Dekhilo,Bhupen Hazarika,/artist/dr-bhupen-hazarika-2,04:18,https://gaana.com//song/gouri-puriya-gavoru-dekhilo
Madarare Phoolo Heno,Bhupen Hazarika,/artist/dr-bhupen-hazarika-2,05:04,https://gaana.com//song/madarare-phoolo-heno
Iyat Rod Olalei Akash,Suez Bardoloi,/artist/suez-bardoloi,03:00,https://gaana.com//song/iyat-rod-olalei-akash
Sharadi Rani Tomar,Bhupen Hazarika,/artist/dr-bhupen-hazarika-2,03:25,https://gaana.com//song/sharadi-rani-tomar
Tumi Prabhu Anathar Nath,Dhanada Pathak|Rameshwar Pathak,/artist/dhanada-pathak|/artist/rameshwar-pathak,03:14,https://gaana.com//song/tumi-prabhu-anathar-nath
Bihu Bihu Lagichhe Gaat,Bhupen Hazarika|Ruby Singha,/artist/dr-bhupen-hazarika-2|/artist/ruby-singha,02:55,https://gaana.com//song/megh-gir-gir-kore
Phulite Keteki,Bibha Barua|Anu Barkakati|Sharat Sharma,/artist/bibha-barua-1|/artist/anu-barkakati-1|/artist/sharat-sharma,04:00,https://gaana.com//song/phulite-keteki
Shankar Guru,Rameshwar Pathak|Dhanada Pathak,/artist/rameshwar-pathak|/artist/dhanada-pathak,03:04,https://gaana.com//song/shankar-guru-1
Radha Chalilora,Snehalata Das,/artist/snehalata-das,03:04,https://gaana.com//song/radha-chalilora
Tomar Buba,sibcharan das,/artist/sibcharan-das,02:53,https://gaana.com//song/tomar-buba
Jon Bai E Beji Eti Dia,Jiten Deka|Nirmali Das,/artist/jiten-deka|/artist/nirmali-das,03:39,https://gaana.com//song/jon-bai-e-beji-eti-dia
Aahaaho Mahaho,Bhupen Hazarika,/artist/dr-bhupen-hazarika-2,02:11,https://gaana.com//song/aahaaho-mahaho
Aami Pani Ona Ghat,Bhupen Hazarika,/artist/dr-bhupen-hazarika-2,05:25,https://gaana.com//song/aami-pani-ona-ghat
Ou Kumalia,Khagen Mahanta,/artist/khagen-mahanta,03:07,https://gaana.com//song/ou-kumalia
Oi Babitoi Dhulia,Bhupen Hazarika,/artist/dr-bhupen-hazarika-2,05:56,https://gaana.com//song/oi-babitoi-dhulia
Joa Beli Bohagat,Lokeswar Deka,/artist/lokeswar-deka,04:03,https://gaana.com//song/joa-beli-bohagat
Ai Saraswati A,Bhupen Hazarika|Bandana Boraha,/artist/dr-bhupen-hazarika-2|/artist/bandana-boraha,05:33,https://gaana.com//song/ai-saraswati-a
Nai Hoya Sesh,Dwipen Baruah|Namita Bhattacharya,/artist/dwipen-baruah|/artist/namita-bhattacharya,03:09,https://gaana.com//song/nai-hoya-sesh
Moi Geet Rachina,sibcharan das,/artist/sibcharan-das,03:21,https://gaana.com//song/moi-geet-rachina
