name,singer,singer_id,duration,link
Aaj Ei Dintake,Kishore Kumar,/artist/kishore-kumar,04:28,https://gaana.com//song/aaj-ei-dintake
Amar Swapna Tumi Ogo,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,03:55,https://gaana.com//song/amar-swapna-tumi-ogo
Ami Chini Go Chini Tomare,Kishore Kumar,/artist/kishore-kumar,02:27,https://gaana.com//song/ami-chini-go-chini-tomare-2
Purano Sei Diner,Debabrata Biswas,/artist/debabrata-biswas,03:03,https://gaana.com//song/purano-sei-diner-2
Aamar Pujar Phool,Kishore Kumar,/artist/kishore-kumar,04:27,https://gaana.com//song/aamar-pujar-phool-1
Se Jeno Aamar Pashe,Kishore Kumar,/artist/kishore-kumar,03:30,https://gaana.com//song/se-jeno-aamar-pashe-1
Mone Pore Ruby Roy,R. D. Burman,/artist/r-d-burman,03:27,https://gaana.com//song/mone-pore-ruby-roy-4
Coffee Houser Sei Addata Aaj Aar Nei,Manna Dey,/artist/manna-dey,06:26,https://gaana.com//song/coffee-houser-sei-addata-aaj-aar-nei-3
Sei Raate Raat Chhilo Purnima,Kishore Kumar,/artist/kishore-kumar,04:05,https://gaana.com//song/sei-raate-raat-chhilo-purnima
Ei Path Jodi Na Shes Hoy,Sandhya Mukherjee|Hemant Kumar,/artist/sandhya-mukherjee|/artist/hemanta-mukherjee,03:11,https://gaana.com//song/ei-path-jodi-na-shes-hoy
Tumi Kon Kananer Phul,Asha Bhosle,/artist/asha-bhosle-1,03:58,https://gaana.com//song/tumi-kon-kananer-phul-1
Amar Swapna Je Satyi,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,05:27,https://gaana.com//song/amar-swapna-je-satyi
Nayan Sarasi Keno Bhoreche Jaale,Kishore Kumar,/artist/kishore-kumar,03:25,https://gaana.com//song/nayan-sarasi-keno-bhoreche-jaale
Jodi Hoi Chorkanta,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,03:21,https://gaana.com//song/jodi-hoi-chorkanta
Mon-Majhi Re,R. D. Burman,/artist/r-d-burman,06:21,https://gaana.com//song/monmajhi-re
Tare Ami Chokhe Dekhini,Kishore Kumar,/artist/kishore-kumar,03:08,https://gaana.com//song/taare-ami-chokhe-dekhini
Aamar Bhalobasar Rajprasade,Manna Dey,/artist/manna-dey,03:36,https://gaana.com//song/aamar-bhalobasar-rajprasade-2
Aaj Milan Tithir Purnima Chand,Kishore Kumar,/artist/kishore-kumar,04:22,https://gaana.com//song/aaj-milan-tithir-purnima-chand
Jakhan Keu Amake Pagol Bale,Manna Dey,/artist/manna-dey,06:38,https://gaana.com//song/jakhan-keu-amake-pagol-bale-2
