name,singer,singer_id,duration,link
Jug Jug Jiyaasu Lalanwa,Alka Yagnik,/artist/alka-yagnik,03:16,https://gaana.com//song/jug-jug-jiyaasu-lalanwa
Lal Lal Hothwa Se,Lata Mangeshkar|Talat Mahmood,/artist/lata-mangeshkar|/artist/talat-mahmood,03:21,https://gaana.com//song/lal-lal-hothwa-se
Dhan Dhan Bhag Lalnawa,Alka Yagnik|Udit Narayan|Asha Bhosle,/artist/alka-yagnik|/artist/udit-narayan|/artist/asha-bhosle-1,05:55,https://gaana.com//song/dhan-dhan-bhag-lalnawa
Kashi Hille Patna Hille,Manna Dey,/artist/manna-dey,03:18,https://gaana.com//song/kashi-hille-patna-hille
Gorki Patarki Re,Asha Bhosle|Mohammed Rafi,/artist/asha-bhosle-1|/artist/mohammad-rafi,03:33,https://gaana.com//song/gorki-patarki-re
Aankh Se Aankh Milke,Suresh Wadkar|Alka Yagnik,/artist/suresh-wadkar|/artist/alka-yagnik,03:14,https://gaana.com//song/aankh-se-aankh-milke
Gavna Karval Ae Hari Ji,Bharat Sharma Vyas,/artist/bharat-sharma-vyas,05:02,https://gaana.com//song/gavna-karval-ae-hari-ji
Dekhali Sapanwa Mein Ayile,Bharat Sharma Vyas,/artist/bharat-sharma-vyas,06:47,https://gaana.com//song/dekhali-sapanwa-mein-ayile
Na Ja Chhod Ke Tu Akele,Kunal Singh|Aanchal|Seema,/artist/kunal-singh|/artist/aanchal-1|/artist/seema,04:41,https://gaana.com//song/na-ja-chhod-ke-tu-akele
Laagi Nahi Chhoote Ram,Lata Mangeshkar|Talat Mahmood,/artist/lata-mangeshkar|/artist/talat-mahmood,03:17,https://gaana.com//song/laagi-nahi-chhoote-ram
Hamaar Piyawa,Asha Bhosle,/artist/asha-bhosle-1,02:57,https://gaana.com//song/hamaar-piyawa
Aankh Mein Suratiya,Chandrani Mukherjee,/artist/chandrani-mukherjee,03:12,https://gaana.com//song/aankh-mein-suratiya
Birhi Basuriya,Sharda Sinha,/artist/sharda-sinha,07:01,https://gaana.com//song/birhi-basuriya
Raja Piy Jani Gaanja Ho Kharaab Ho Jaibai,Bharat Sharma Vyas,/artist/bharat-sharma-vyas,06:38,https://gaana.com//song/raja-piy-jani-gaanja-ho-kharaab-ho-jaibai
Ghir Aayil Kariya Badariya,Alka Yagnik,/artist/alka-yagnik,03:18,https://gaana.com//song/ghir-aayil-kariya-badariya
Chhodi Gayil Re Raat Sejariya,Bharat Sharma Vyas,/artist/bharat-sharma-vyas,04:49,https://gaana.com//song/chhodi-gayil-re-raat-sejariya
Papiha Ke Boliya,Sharda Sinha,/artist/sharda-sinha,05:20,https://gaana.com//song/papiha-ke-boliya
Chodi Ke Chalailu,Chandrani Mukherjee,/artist/chandrani-mukherjee,03:49,https://gaana.com//song/chodi-ke-chalailu
Ugahe Suraj Dev Bhela Bhinu,VINDHYAVASINI DEVI,/artist/vindhyavasini-devi,02:05,https://gaana.com//song/ugahe-suraj-dev-bhela-bhinu-1
Ae Doctor Babu Batayi,Shabbir Kumar|Alka Yagnik,/artist/shabbir-kumar|/artist/alka-yagnik,05:16,https://gaana.com//song/ae-doctor-babu-batayi
Nirhu Hasya Kahani,BECHAN RAM|Saathi,/artist/bechan-ram|/artist/saathi,29:10,https://gaana.com//song/nirhu-hasya-kahani
More Honthwa Se Nathuniya,Asha Bhosle,/artist/asha-bhosle-1,03:28,https://gaana.com//song/more-honthwa-se-nathuniya
Hansi Ke Je Dekha Tu Ek Beriya,Asha Bhosle,/artist/asha-bhosle-1,06:32,https://gaana.com//song/hansi-ke-je-dekha-tu-ek-beriya
Sonwa Ke Pinjra Men,Mohammed Rafi,/artist/mohammad-rafi,03:06,https://gaana.com//song/sonwa-ke-pinjra-men
Patna Sahariya,Sharda Sinha,/artist/sharda-sinha,06:00,https://gaana.com//song/patna-sahariya
Chorwa Na Le Jaye,Mohammed Rafi,/artist/mohammad-rafi,03:03,https://gaana.com//song/chorwa-na-le-jaye
Kanhwa Ke Tilak,Chandrani Mukherjee,/artist/chandrani-mukherjee,02:26,https://gaana.com//song/kanhwa-ke-tilak
Bada Pareshan,Asha Bhosle,/artist/asha-bhosle-1,03:15,https://gaana.com//song/bada-pareshan-1
Jaldi Jaldi Chal Re Kahara,Mohammed Rafi,/artist/mohammad-rafi,03:12,https://gaana.com//song/jaldi-jaldi-chal-re-kahara
Birha Sauteli Maa(Netradaan),Om Prakash Yadav,/artist/om-prakash-yadav,31:12,https://gaana.com//song/birha-sauteli-maanetradaan
Jahiya Gavna Ke Aai Doli,Bharat Sharma Vyas,/artist/bharat-sharma-vyas,07:56,https://gaana.com//song/jahiya-gavna-ke-aai-doli
Hansi Hansi Panwa Khiwanle,Mahendra Kapoor|Manna Dey,/artist/mahendra-kapoor|/artist/manna-dey,03:31,https://gaana.com//song/hansi-hansi-panwa-khiwanle
More Karejwa Men Pir,Lata Mangeshkar|Usha Mangeshkar,/artist/lata-mangeshkar|/artist/usha-mangeshkar-2,02:29,https://gaana.com//song/more-karejwa-men-pir
Mare Mastniya,Aniruddha Prasad Singh,/artist/aniruddha-prasad-singh,05:11,https://gaana.com//song/mare-mastniya
Kuch Deja Nishani O Balma,Shama Bano,/artist/shama-bano,03:05,https://gaana.com//song/kuch-deja-nishani-o-balma
Phoot Gaile Kismatiya - Mohdrafi,Mohammed Rafi,/artist/mohammad-rafi,03:23,https://gaana.com//song/phoot-gaile-kismatiya-1
Piritiya Kahe Na Lagavle,Sharda Sinha,/artist/sharda-sinha,04:39,https://gaana.com//song/piritiya-kahe-na-lagavle-1
Badariya Gheri Aayee Nandi,Sharda Sinha,/artist/sharda-sinha,05:18,https://gaana.com//song/badariya-gheri-aayee-nandi
Hey Tripurari Hey,Usha Mangeshkar,/artist/usha-mangeshkar-2,03:21,https://gaana.com//song/hey-tripurari-hey
Sajanwa Bairi Bhaile Hamar,Alka Yagnik,/artist/alka-yagnik,06:43,https://gaana.com//song/sajanwa-bairi-bhaile-hamar
Aajamgadh Harijan Hatyakaand,BECHAN RAM|Saathi,/artist/bechan-ram|/artist/saathi,29:19,https://gaana.com//song/aajamgadh-harijan-hatyakaand
Ulta Ho Gaile Nagaria,Joginder Singh,/artist/joginder-singh,02:33,https://gaana.com//song/ulta-ho-gaile-nagaria
Chali Bhai Khetava Ki Aur,Aniruddha Prasad Singh,/artist/aniruddha-prasad-singh,03:19,https://gaana.com//song/chali-bhai-khetava-ki-aur
Chadhte Phagun Jiyara,Mohammed Rafi,/artist/mohammad-rafi,03:04,https://gaana.com//song/chadhte-phagun-jiyara
Mori Kalaiya,Lata Mangeshkar,/artist/lata-mangeshkar,03:07,https://gaana.com//song/mori-kalaiya-1
Jab Hum Jaai Naiharwan,Asha Bhosle|Chorus,/artist/asha-bhosle-1|/artist/chorus,05:06,https://gaana.com//song/jab-hum-jaai-naiharwan
Saam Chakeba Khelbahe -Tohe Badka Bhaiya Ho,Sharda Sinha,/artist/sharda-sinha,06:01,https://gaana.com//song/saam-chakeba-khelbahe-tohe-badka-bhaiya-ho
Baanjhi Kewdwa Dhaile Thaadh,Sharda Sinha,/artist/sharda-sinha,08:58,https://gaana.com//song/baanjhi-kewdwa-dhaile-thaadh
Rakhiya Bandhala Bhaiya,Lata Mangeshkar,/artist/lata-mangeshkar,03:24,https://gaana.com//song/rakhiya-bandhala-bhaiya
Ye Balma Pardesi,Alka Yagnik|Udit Narayan,/artist/alka-yagnik|/artist/udit-narayan,06:22,https://gaana.com//song/ye-balma-pardesi
Phoot Gaile Kismatiya,Asha Bhosle|Mohammed Rafi,/artist/asha-bhosle-1|/artist/mohammad-rafi,03:26,https://gaana.com//song/phoot-gaile-kismatiya
Birha Bhullu Darji,Om Prakash Yadav,/artist/om-prakash-yadav,31:10,https://gaana.com//song/birha-bhullu-darji
Ugihen Suraj Gosaiyan Hey,Sharda Sinha,/artist/sharda-sinha,04:42,https://gaana.com//song/ugihen-suraj-gosaiyan-hey
Hey Ganga Maiya,Sharda Sinha,/artist/sharda-sinha,06:31,https://gaana.com//song/hey-ganga-maiya-8
Mere Mathe Ka Sindur,Lata Mangeshkar,/artist/lata-mangeshkar,04:17,https://gaana.com//song/mere-mathe-ka-sindur-1
Sama Khele Chalali,Sharda Sinha,/artist/sharda-sinha,08:51,https://gaana.com//song/sama-khele-chalali
Satahi Ghorawa Suraj Dev,VINDHYAVASINI DEVI,/artist/vindhyavasini-devi,02:56,https://gaana.com//song/satahi-ghorawa-suraj-dev-2
Kerawaje Pharela Ghaud Se - Chhath Geet,Preeti Sagar,/artist/preeti-sagar,06:15,https://gaana.com//song/kerawaje-pharela-ghaud-se-chhath-geet-1
Luk Chuk Badra,Lata Mangeshkar,/artist/lata-mangeshkar,02:42,https://gaana.com//song/luk-chuk-badra
Bhola Baba Ke Bhawanva,Aniruddha Prasad Singh,/artist/aniruddha-prasad-singh,04:19,https://gaana.com//song/bhola-baba-ke-bhawanva
Aeke Karvatiya Kari Sejiya Par Bhor,Bharat Sharma Vyas,/artist/bharat-sharma-vyas,07:14,https://gaana.com//song/aeke-karvatiya-kari-sejiya-par-bhor
Mor Bhangia Ka Manai De,Mohammed Rafi|Asha Bhosle,/artist/mohammad-rafi|/artist/asha-bhosle-1,05:01,https://gaana.com//song/mor-bhangia-ka-manai-de
Sati Sulochana,HAIDER ALI JUGNU,/artist/haider-ali-jugnu,59:41,https://gaana.com//song/sati-sulochana
Kahe Heera Se,Mahendra Kapoor,/artist/mahendra-kapoor,06:37,https://gaana.com//song/kahe-heera-se
Jiyaba Bhail Ji Ke Kaal,Sharda Sinha,/artist/sharda-sinha,06:53,https://gaana.com//song/jiyaba-bhail-ji-ke-kaal
Ratiya Ghusal Ghar Mein,Asha Bhosle,/artist/asha-bhosle-1,03:24,https://gaana.com//song/ratiya-ghusal-ghar-mein
Hamar Bail Gadi,Joginder Singh,/artist/joginder-singh,03:08,https://gaana.com//song/hamar-bail-gadi
Ja Ree Ja Lado,Asha Bhosle|Sathi,/artist/asha-bhosle-1|/artist/sathi,08:12,https://gaana.com//song/ja-ree-ja-lado
