name,singer,singer_id,duration,link
Ke Odhni Odhu Odhu Ne Udi Jaye,Alka Yagnik|Praful  Dave,/artist/alka-yagnik|/artist/praful-dave-1,05:58,https://gaana.com//song/ke-odhni-odhu-odhu-ne-udi-jaye
Yamunashtak,Lata Mangeshkar,/artist/lata-mangeshkar,07:42,https://gaana.com//song/yamunastak
Khamma Mara Nandajinalal,Asha Bhosle|Sulochana Vyas|Chorus,/artist/asha-bhosle-1|/artist/sulochana-vyas|/artist/chorus,06:31,https://gaana.com//song/khamma-mara-nandajinalal
Kanuda Tari Morliye,Geeta Dutt,/artist/geeta-dutt,02:32,https://gaana.com//song/kanuda-tari-morliye
Laving Keri Lakadi,Praful  Dave|Usha Mangeshkar,/artist/praful-dave-1|/artist/usha-mangeshkar-2,02:45,https://gaana.com//song/laving-keri-lakadi
Shambhu Sharane Padi,Narayan Swami,/artist/narayan-swami,07:13,https://gaana.com//song/shambhu-sharane-padi
Jaag Re Malan Jaag,Praful  Dave,/artist/praful-dave-1,03:34,https://gaana.com//song/jaag-re-malan-jaag
Kanudo Kalo Kalo,Narayan Swami,/artist/narayan-swami,03:24,https://gaana.com//song/kanudo-kalo-kalo
Gokuliye Rang Ramva,Geeta Dutt,/artist/geeta-dutt,03:19,https://gaana.com//song/gokuliye-rang-ramva
Sona Vatakadi Re,Asha Bhosle,/artist/asha-bhosle-1,03:11,https://gaana.com//song/sona-vatakadi-re
He Gokul Vehala Padharjo Re,Hansa Dave,/artist/hansa-dave,03:17,https://gaana.com//song/he-gokul-vahela-padharjo-re
Phagan Aayo,Vatsala Patil|Karsandas Sagathia,/artist/vatsala-patil|/artist/karsandas-sagathia,05:58,https://gaana.com//song/fagan-aayo
Karam Ni Gati Nyari,Narayan Swami,/artist/narayan-swami,07:17,https://gaana.com//song/karam-ni-gati-nyari
Kaya To Dhutarana Shaher Chhe,Narayan Swami,/artist/narayan-swami,04:05,https://gaana.com//song/kaya-to-dhutarana-shaher-chhe
Chhanu Re Chhupun Kain Thay Nahi,Asha Bhosle|Chorus,/artist/asha-bhosle-1|/artist/chorus,03:16,https://gaana.com//song/chhanu-re-chhupun-kainthay-nahi
Bhoolati Nathi Ae Sukhi Zindagi Ne,Narayan Swami,/artist/narayan-swami,04:11,https://gaana.com//song/bhoolati-nathi-ae-sukhi-zindagi-ne
He Ranglo Jamyo,Asha Bhosle|Ashit Desai|Chorus,/artist/asha-bhosle-1|/artist/ashit-desai-chorus|/artist/chorus,06:32,https://gaana.com//song/he-ranglo-jamyo
Vina Vichar Sakal Jag Bhoole,Narayan Swami,/artist/narayan-swami,03:23,https://gaana.com//song/vina-vichar-sakal-jag-bhoole
