name,singer,singer_id,duration,link
Naguva Nayana,S. Janaki|S. P. Balasubrahmanyam,/artist/s-janaki|/artist/s-p-balasubrahamanyam,04:12,https://gaana.com//song/naguva-nayana
Ellelli Nodali,S. Janaki|Dr. Rajkumar,/artist/s-janaki|/artist/dr-rajkumar-1,04:31,https://gaana.com//song/ellelli-nodali
Chinnada Mallige Hoove,S. Janaki|Dr. Rajkumar,/artist/s-janaki|/artist/dr-rajkumar-1,04:35,https://gaana.com//song/chinnada-mallige-hoove-1
Premalokadinda,K J Yesudas|S. Janaki,/artist/k-j-yesudas|/artist/s-janaki,04:35,https://gaana.com//song/premalokadinda
Preethiyalli Iro Sukha,S. P. Balasubrahmanyam|Manjula Gururaj,/artist/s-p-balasubrahamanyam|/artist/manjula-gururaj,04:41,https://gaana.com//song/preethiyalli-iro-sukha-2
Idu Nanna Ninna Prema Geethe,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:34,https://gaana.com//song/idu-nanna-ninna-prema-geethe
Cheluve Ondu Kelthini,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:20,https://gaana.com//song/cheluve-ondu-kelthini
Baani Gondu Elle,Dr. Rajkumar,/artist/dr-rajkumar-1,03:19,https://gaana.com//song/baani-gondu-elle
Nagu Endhidhe,S. Janaki,/artist/s-janaki,04:23,https://gaana.com//song/naguenthithe
Harivarasanam Sharanam Ayyappa,K J Yesudas,/artist/k-j-yesudas,03:08,https://gaana.com//song/harivarasanam-sharanam-ayyappa
Nee Bandu Ninthaaga,P.B. Sreenivas|P. Susheela,/artist/pb-sreenivas|/artist/p-suseela-2,03:32,https://gaana.com//song/nee-bandhu-ninthaaga
Aadisinodu Beelisinodu,P.B. Sreenivas,/artist/pb-sreenivas,03:02,https://gaana.com//song/aadisi-nodu-beelisi-nodu
Hrudayadali Idenidhu,Dr. Rajkumar|Manjula Gururaj,/artist/dr-rajkumar-1|/artist/manjula-gururaj,04:57,https://gaana.com//song/hrudayadali-idenidhu
Ee Nimbe Hanninantha,Ramesh,/artist/ramesh,02:59,https://gaana.com//song/ee-nimbe-hanninantha
Mooru Kaasina Kudure,Ramesh,/artist/ramesh,04:44,https://gaana.com//song/mooru-kaasina-kudure
Neerabittu Nelada Mele,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:14,https://gaana.com//song/neerabittu-nelada-mele
NAAVAADUVA NUDIYE.,P.B. Sreenivas,/artist/pb-sreenivas,05:06,https://gaana.com//song/naavaaduva-nudiye
Naa Ninna Mareyalare,Dr. Rajkumar|Vani Jairam,/artist/dr-rajkumar-1|/artist/vani-jayaram,04:21,https://gaana.com//song/naa-ninna-mareyalare-1
Nooru Kannu Saladu,P.B. Sreenivas|S. P. Balasubrahmanyam,/artist/pb-sreenivas|/artist/s-p-balasubrahamanyam,04:33,https://gaana.com//song/noor-kannu-saladu
Thanuvu Manavu,S. Janaki|Dr. Rajkumar,/artist/s-janaki|/artist/dr-rajkumar-1,04:25,https://gaana.com//song/thanuvu-manavu
Jo Jo Laali Naa Haaduve,K J Yesudas,/artist/k-j-yesudas,03:12,https://gaana.com//song/jo-jo-laali-naa-haaduve
Ondaanondu Kaaladalli,Ramesh|P. Susheela,/artist/ramesh|/artist/p-suseela-2,04:36,https://gaana.com//song/ondaanondu-kaaladalli
Geleyare Nanna Geleyare,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,05:31,https://gaana.com//song/geleyare-nanna-geleyare
Nagunagutha Nee Baruve,S. Janaki|Dr. Rajkumar,/artist/s-janaki|/artist/dr-rajkumar-1,04:27,https://gaana.com//song/nagu-nagutha-nee-baruve-1
Yare Koogadali Oore Horaadali,Dr. Rajkumar,/artist/dr-rajkumar-1,03:32,https://gaana.com//song/yaare-koogaadali-oore-horaadali
Yaavudo Ee Bombe,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,05:55,https://gaana.com//song/yaavudo-ee-bombe
Ninna Nanna,Dr. Rajkumar,/artist/dr-rajkumar-1,04:38,https://gaana.com//song/ninna-nanna-94
Yaare Neenu Sundara Cheluve,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,06:12,https://gaana.com//song/yaare-neenu-sundara-cheluve
