name,singer,singer_id,duration,link
Koottil Ninnum,K J Yesudas,/artist/k-j-yesudas,04:35,https://gaana.com//song/koottil-ninnum-1
Pon Veene,M G Sreekumar,/artist/m-g-sreekumar,04:50,https://gaana.com//song/pon-veene-4
Etho Janma,Vani Jairam,/artist/vani-jayaram,04:02,https://gaana.com//song/etho-janma
Thumbi Vaa Thumbakudathin,S. Janaki,/artist/s-janaki,04:27,https://gaana.com//song/thumbi-vaa-1
Earnmegam,Kannur Rajan,/artist/kannur-rajan,04:31,https://gaana.com//song/earnmegam-1
Ab Ke Baras,Mahendra Kapoor,/artist/mahendra-kapoor,06:29,https://gaana.com//song/ab-ke-baras
Paadam Pootha,Kannur Rajan,/artist/kannur-rajan,03:55,https://gaana.com//song/paadam-pootha
Oru Pushpam Mathramen,K J Yesudas,/artist/k-j-yesudas,03:31,https://gaana.com//song/oru-pushpam-mathramen
Mizhiyoram,S. Janaki,/artist/s-janaki,04:23,https://gaana.com//song/mizhiyoram
Valittezhuthiya,K J Yesudas|S. Janaki,/artist/k-j-yesudas|/artist/s-janaki,04:14,https://gaana.com//song/valittezhuthiya
Adiva Katte,S. Janaki,/artist/s-janaki,05:26,https://gaana.com//song/adiva-katte
Anuragini,K J Yesudas,/artist/k-j-yesudas,04:45,https://gaana.com//song/anuragini-6
Sagarangale,K J Yesudas,/artist/k-j-yesudas,04:21,https://gaana.com//song/sagarangale-1
Doore Kizhakudhikkum,Kannur Rajan,/artist/kannur-rajan,03:47,https://gaana.com//song/doore-kizhakudhikkum
Theeram Thedum,Ouseppachan,/artist/ousephachan,04:15,https://gaana.com//song/theeram-thedum
Tharum Thalirum,K J Yesudas,/artist/k-j-yesudas,04:45,https://gaana.com//song/tharum-thalirum
Ponnurukum,S. Janaki,/artist/s-janaki,04:07,https://gaana.com//song/ponnurukum
Maane Madhura Karimbe,K J Yesudas,/artist/k-j-yesudas,04:09,https://gaana.com//song/maane-madhura-karimbe
Thoomanjin Thulli,K J Yesudas,/artist/k-j-yesudas,04:54,https://gaana.com//song/thoomanjin-thulli-1
Nee En Sarga-Bit,Chorus,/artist/chorus,04:27,https://gaana.com//song/nee-en-sarga-bit
Chiriyude - Psusheela,P. Susheela,/artist/p-suseela-2,04:03,https://gaana.com//song/chiriyude
Main Hi Main Hoon,Suresh Wadkar,/artist/suresh-wadkar,04:54,https://gaana.com//song/main-hi-main-hoon-2
Kathodu Kathoram,K J Yesudas,/artist/k-j-yesudas,04:37,https://gaana.com//song/kathodu-kathoram
Devadoothar,K J Yesudas,/artist/k-j-yesudas,05:05,https://gaana.com//song/devadoothar
Sanyasini Nin,K J Yesudas,/artist/k-j-yesudas,04:27,https://gaana.com//song/sanyasini-nin
Nagumo,Kannur Rajan,/artist/kannur-rajan,06:35,https://gaana.com//song/nagumo-7
Praanasakhi Njan,K J Yesudas,/artist/k-j-yesudas,03:33,https://gaana.com//song/pranasakhi-1
Anthiponvettam,Ouseppachan,/artist/ousephachan,04:49,https://gaana.com//song/anthiponvettam-1
Vezhaambal Kezhum Venalkkudeeram,S. Janaki|K J Yesudas,/artist/s-janaki|/artist/k-j-yesudas,04:02,https://gaana.com//song/vezhambal-kezhum
Ormakale,K J Yesudas,/artist/k-j-yesudas,04:36,https://gaana.com//song/ormakale-3
Ente Mohangalellam,Vidhu Prathap|Cicily,/artist/vidhu-prathap|/artist/cicily,04:22,https://gaana.com//song/ente-mohangalellam-2
Chandrikayilaliyunnu,K J Yesudas|P Leela,/artist/k-j-yesudas|/artist/p-leela,03:17,https://gaana.com//song/chandrikayilaliyunnu
Himakanam,Ganesh Sundaram|Gayathri Ashokan,/artist/ganesh-sundaram|/artist/gayathri-ashokan,04:39,https://gaana.com//song/himakanam-2
Ponnurukum,S. Janaki,/artist/s-janaki,04:07,https://gaana.com//song/ponnurukkum-pookkaalam
Mohan Kondunjan - Full Version,S. Janaki,/artist/s-janaki,04:56,https://gaana.com//song/moham-kondu-njan
