name,singer,singer_id,duration,link
Hridayi Vasant Phulatana,Suresh Wadkar|Sudesh Bhonsle|Shailendra Singh,/artist/suresh-wadkar|/artist/sudesh-bhonsle|/artist/shailendra-singh,06:46,https://gaana.com//song/hridayi-vasant-phulatana
Nimbonichya Zadamaage,Suman Kalyanpur,/artist/suman-kalyanpur,03:36,https://gaana.com//song/nimbonichya-zadamaage
Ashi Hi Banavabanavi,Suresh Wadkar|Amit Kumar|Shailendra Singh,/artist/suresh-wadkar|/artist/amit-kumar|/artist/shailendra-singh,04:34,https://gaana.com//song/ashi-hi-banavabanavi
Dagala Lagali Kala,Mahendra Kapoor|Usha Mangeshkar,/artist/mahendra-kapoor|/artist/usha-mangeshkar-2,05:17,https://gaana.com//song/dagala-lagali-kala-1
Mi Prem Nagarcha Raja,Suresh Wadkar|Shobha Joshi,/artist/suresh-wadkar|/artist/shobha-joshi,06:11,https://gaana.com//song/mi-prem-nagarcha-raja
Na Sangatach Aaj,Suresh Wadkar|Anuradha Paudwal,/artist/suresh-wadkar|/artist/anuradha-paudwal-2,05:19,https://gaana.com//song/na-sangatach-aaj
Malyachya Malya Madhi Kon Ga Ubhi,Usha Mangeshkar|Jaywant Kulkarni,/artist/usha-mangeshkar-2|/artist/jaywant-kukarni,03:45,https://gaana.com//song/malyachya-malya-madhi-kon-ga-ubhi
Swargahuni Sunder Gharte,Anuradha Paudwal|Suresh Wadkar,/artist/anuradha-paudwal-2|/artist/suresh-wadkar,05:54,https://gaana.com//song/swargahuni-sunder-gharte
Vithala Tu Veda Kumbhar,Sudhir Phadke,/artist/sudhir-phadke,03:22,https://gaana.com//song/vitthala-tu-veda-kumbhar
Java Naveen Popat Ha,Anand Shinde,/artist/anand-shinde,05:35,https://gaana.com//song/java-naveen-popat-ha
Saang Kadhi Kalnar Tula,Mahendra Kapoor|Suman Kalyanpur,/artist/mahendra-kapoor|/artist/suman-kalyanpur,03:27,https://gaana.com//song/saang-kadhi-kalnar-tula
Var Dhagala Lagali Kal,Mahendra Kapoor|Usha Mangeshkar,/artist/mahendra-kapoor|/artist/usha-mangeshkar-2,05:23,https://gaana.com//song/var-dhagala-lagali-kal-2
Sang Tu Majhach Na,Asha Bhosle,/artist/asha-bhosle-1,04:32,https://gaana.com//song/sang-tu-majhach-na
Bilanshi Nagin Nighali,Uttara Kelkar,/artist/uttara-kelkar,04:37,https://gaana.com//song/bilanshi-nagin-nighali-5
Bai Mi Patang Udvit Hote,Asha Bhosle,/artist/asha-bhosle-1,03:39,https://gaana.com//song/bai-mi-patang-udvit-hote-1
Kunitari Yenar,Anuradha Paudwal|Uttara Kelkar|Suhasini,/artist/anuradha-paudwal-2|/artist/uttara-kelkar|/artist/suhasini,04:42,https://gaana.com//song/kunitari-yenar
Gala Varchi Khali Tujhya,Mahendra Kapoor|Usha Mangeshkar,/artist/mahendra-kapoor|/artist/usha-mangeshkar-2,06:21,https://gaana.com//song/gala-varchi-khali-tujhya-laavi-yed
Tujhi Majhi Jodi Jamlee,Kishore Kumar|Anuradha Paudwal,/artist/kishore-kumar|/artist/anuradha-paudwal-2,05:19,https://gaana.com//song/tujhi-majhi-jodi-jamlee
Dhundi Kalyana,Sudhir Phadke|Asha Bhosle,/artist/sudhir-phadke|/artist/asha-bhosle-1,03:38,https://gaana.com//song/dhundi-kalyana-5
Solava Varis Dhokyacha,Sulochana Chavan,/artist/sulochana-chavan,03:26,https://gaana.com//song/solava-varis-dhokyacha
Sakhi Mand Jhalya Taarka,Sudhir Phadke,/artist/sudhir-phadke,05:46,https://gaana.com//song/sakhi-mand-jhalya-taarka
Kaal Rateela Sapan Padlan,Mohammed Salamat|Usha Mangeshkar,/artist/mohammed-salamat|/artist/usha-mangeshkar-2,03:03,https://gaana.com//song/kaal-rateela-sapan-padlan-3
Dehachi Tijori,Sudhir Phadke,/artist/sudhir-phadke,03:01,https://gaana.com//song/dehachi-tijori-4
Aala Aala Vara,Asha Bhosle|Anuradha Paudwal,/artist/asha-bhosle-1|/artist/anuradha-paudwal-2,05:08,https://gaana.com//song/aala-aala-vara-7
Kunya Gavach Aala Pakharu,Usha Mangeshkar,/artist/usha-mangeshkar-2,05:23,https://gaana.com//song/kunya-gavach-aala-pakharu
Hi Pavhani Kashi Aali Bagha,Pralhad Shinde,/artist/pralhad-shinde-1,07:19,https://gaana.com//song/hi-pavhani-kashi-aali-bagha
Vithalachya Paayi Veet Zali Bhagyawant,Pralhad Shinde|Chorus,/artist/pralhad-shinde-1|/artist/chorus,02:59,https://gaana.com//song/vithalachya-paayi-veet-zali-bhagyawant
Hil Hil Pori Hila,Jaywant Kulkarni|Usha Mangeshkar,/artist/jaywant-kukarni|/artist/usha-mangeshkar-2,03:34,https://gaana.com//song/hil-hil-pori-hila
Sakhar Zopemadhi Mee Asata,Dada Kondke|usha Chavan,/artist/dada-kondke|/artist/usha-chavan,03:55,https://gaana.com//song/sakhar-zopemadhi-mee-astana
Utha Utha Shree Sainatha,Pandurang Dixit|Radharaman Kirtane,/artist/pandurang-dixit|/artist/radharaman-kirtane,02:51,https://gaana.com//song/utha-utha-shree-sainatha
Sajana Mohana Rajasa,Suresh Wadkar|Jyotsna Hardikar,/artist/suresh-wadkar|/artist/jyotsna-hardikar,05:01,https://gaana.com//song/sajana-mohana-rajasa
Tinak Dhin Tandana,Anuradha Paudwal,/artist/anuradha-paudwal-2,04:01,https://gaana.com//song/tinak-dhin-tandana
Chabidar Chabi,Usha Mangeshkar,/artist/usha-mangeshkar-2,03:28,https://gaana.com//song/chabidar-chabi
Dol Dolatay Varyav,Shrikant Narayan|Veena Bamne,/artist/shrikant-narayan|/artist/veena-bamne,05:07,https://gaana.com//song/dol-dolatay-varyav-1
Kalya Matit Matit,Suresh Wadkar|Anuradha Paudwal,/artist/suresh-wadkar|/artist/anuradha-paudwal-2,05:53,https://gaana.com//song/kalya-matit-matit
Vithoo Mauli Tu,Sudhir Phadke|Suresh Wadkar|Jaywant Kulkarni,/artist/sudhir-phadke|/artist/suresh-wadkar|/artist/jaywant-kukarni,05:15,https://gaana.com//song/vithoo-mauli-tu-1
Kay Ga Sakhoo,Usha Mangeshkar|Jaywant Kulkarni,/artist/usha-mangeshkar-2|/artist/jaywant-kukarni,03:42,https://gaana.com//song/kay-ga-sakhoo-2
Dhundi Kalyana,Sudhir Phadke|Asha Bhosle,/artist/sudhir-phadke|/artist/asha-bhosle-1,03:38,https://gaana.com//song/dhundi-kalyana-3
Ye Na Shaalu,Asha Bhosle|Shailendra Singh,/artist/asha-bhosle-1|/artist/shailendra-singh,03:19,https://gaana.com//song/ye-na-shaalu
Gomu Sangtina Mazya,Asha Bhosle|Hemant Kumar,/artist/asha-bhosle-1|/artist/hemanta-mukherjee,04:22,https://gaana.com//song/gomu-sangtina
Sadhi Bholi Meera,Asha Bhosle,/artist/asha-bhosle-1,06:00,https://gaana.com//song/sadhi-bholi-meera
