name,singer,singer_id,duration,link
Nida Bhara Rati,Nirmal Mishra,/artist/nirmal-mishra,03:04,https://gaana.com//song/nida-bhara-rati
Om Santi Om Santi,Sikandar Alam,/artist/sikandar-alam,04:21,https://gaana.com//song/om-santi-om-santi
Jajabara Mana Mora,Akshaya Mohanty|Trupti Das,/artist/akshaya-mohanty|/artist/trupti-das,06:53,https://gaana.com//song/jajabara-mana-mora
Ekato Bhakata Jibana,Akshaya Mohanty,/artist/akshaya-mohanty,02:34,https://gaana.com//song/ekato-bhakata-jibana
Kala Thakur Pua Mohara,Kavita Krishnamurthy,/artist/kavita-subramaniam,08:00,https://gaana.com//song/kala-thakur-pua-mohara
Tata Mata Karuchhanti Rodana,Akshaya Mohanty,/artist/akshaya-mohanty,03:02,https://gaana.com//song/tata-mata-karuchhanti-rodana
Phoor Kina Udigala Bani,Trupti Das|Geeta Patnaik,/artist/trupti-das|/artist/geeta-patnaik,02:59,https://gaana.com//song/phoor-kina-udigala-bani
Patita Jananku Uddhariba Pain,Bhikari Bal,/artist/bhikari-bal-1,03:51,https://gaana.com//song/patita-jananku-uddhariba-pain
Jochhana Luchana,Akshaya Mohanty|Nirmal Mishra,/artist/akshaya-mohanty|/artist/nirmal-mishra,03:15,https://gaana.com//song/jochhana-luchana
Kene Gheni,Akshaya Mohanty,/artist/akshaya-mohanty,03:02,https://gaana.com//song/kene-gheni
Kathata Ta Atike,Anuradha Paudwal|Mohammad Aziz|Mahendra Kapoor|Akhyay Mohanty|Rabindra Sathe,/artist/anuradha-paudwal-2|/artist/mohammad-aziz|/artist/mahendra-kapoor|/artist/akhyay-mohanty|/artist/rabindra-sathe,05:21,https://gaana.com//song/kathata-ta-atike-1
Ahe Prabhu Mahabahu,Geeta Das,/artist/geeta-das,03:09,https://gaana.com//song/ahe-prabhu-mahabahu
Rupa Sagadirey Suna Kaniya,Mohammad Aziz,/artist/mohammad-aziz,06:23,https://gaana.com//song/rupa-sagadirey-suna-kaniya
Hrudayara Ei Sunyataku,Sekhar Ghosh,/artist/sekhar-ghosh,04:59,https://gaana.com//song/hrudayara-ei-sunyataku
Gadi Chale Pachhei,Akshaya Mohanty|Trupti Das,/artist/akshaya-mohanty|/artist/trupti-das,02:46,https://gaana.com//song/gadi-chale-pachhei
Samalei Ma Go,Fakir Patnaik,/artist/fakir-patnaik-54,06:34,https://gaana.com//song/samalei-ma-go
E Banara Chai,Amit Kumar|Suman Kalyanpur,/artist/amit-kumar|/artist/suman-kalyanpur,03:01,https://gaana.com//song/e-banara-chai
Chaala Sakhi Aambhe,Pranab Kishore Patnaik,/artist/pranab-kishore-patnaik,03:13,https://gaana.com//song/chaala-sakhi-aambhe
Bhagya Thile Dhara Dhara,Akshaya Mohanty,/artist/akshaya-mohanty,02:38,https://gaana.com//song/bhagya-thile-dhara-dhara
Keon Nama Dhari,Pranab Kishore Patnaik|Vani Jairam,/artist/pranab-kishore-patnaik|/artist/vani-jayaram,04:23,https://gaana.com//song/keon-nama-dhari
E Milana Kahani Ama Jibanara,Kavita Krishnamurthy|Udit Narayan,/artist/kavita-subramaniam|/artist/udit-narayan,07:00,https://gaana.com//song/e-milana-kahani-ama-jibanara
Monar Desare,Anuradha Paudwal|Mohammad Aziz|Mahendra Kapoor|Akhyay Mohanty|Rabindra Sathe,/artist/anuradha-paudwal-2|/artist/mohammad-aziz|/artist/mahendra-kapoor|/artist/akhyay-mohanty|/artist/rabindra-sathe,05:09,https://gaana.com//song/monar-desare
Dinabandhu Daitari,Akshaya Mohanty,/artist/akshaya-mohanty,03:51,https://gaana.com//song/dinabandhu-daitari
Brundabane Banshi,Sikander Alam,/artist/sikander-alam,02:48,https://gaana.com//song/brundabane-banshi
Re Mita Aa Sangata,Pranab Kishore Patnaik|Sikandar Alam,/artist/pranab-kishore-patnaik|/artist/sikandar-alam,03:18,https://gaana.com//song/re-mita-aa-sangata
Mora Kapale Baisi Pancha,Sekhar Ghosh,/artist/sekhar-ghosh,02:53,https://gaana.com//song/mora-kapale-baisi-pancha
Manima Shunima Heyu,Pranab Kishore Patnaik,/artist/pranab-kishore-patnaik,03:36,https://gaana.com//song/manima-sunima-heu
Jagannatha Hey,Bhikari Bal,/artist/bhikari-bal-1,05:35,https://gaana.com//song/jagannatha-hey
Kaili Lo,Unknown,/artist/unknown,05:12,https://gaana.com//song/kaili-lo
Prathame Banduchhe Sri Ganeswar,Fakir Patnaik,/artist/fakir-patnaik-55,03:19,https://gaana.com//song/prathame-banduchhe-sri-ganeswar
Bhasa Megha,Akshaya Mohanty,/artist/akshaya-mohanty,03:19,https://gaana.com//song/bhasa-megha
Ahe Ramahari,Prafulla Kar,/artist/prafulla-kar,02:58,https://gaana.com//song/nila-chakre-he-1
Samarpi Deli,Akshaya Mohanty,/artist/akshaya-mohanty,03:16,https://gaana.com//song/samarpi-deli
Majhire,Pranab Kishore Patnaik,/artist/pranab-kishore-patnaik,02:05,https://gaana.com//song/majhire-1
Boita Bandana,Sikandar Alam|Indira Nanda|Bhikari Bal,/artist/sikandar-alam|/artist/indira-nanda|/artist/bhikari-bal-1,06:23,https://gaana.com//song/boita-b-and-ana
Hai Se Harini Akhi,Pranab Kishore Patnaik,/artist/pranab-kishore-patnaik,02:34,https://gaana.com//song/hai-se-harini-akhi
Hai Lo Mora Berinigi Chithhi,Anuradha Paudwal|Mohammad Aziz|Mahendra Kapoor|Akhyay Mohanty|Rabindra Sathe,/artist/anuradha-paudwal-2|/artist/mohammad-aziz|/artist/mahendra-kapoor|/artist/akhyay-mohanty|/artist/rabindra-sathe,05:08,https://gaana.com//song/hai-lo-mora-berinigi-chithhi
Kripasindhu Badana,Bhikari Bal,/artist/bhikari-bal-1,04:17,https://gaana.com//song/kripasindhu-badana
Asiba Asiba Jane Dine Ta,Kavita Krishnamurthy|Udit Narayan,/artist/kavita-subramaniam|/artist/udit-narayan,06:00,https://gaana.com//song/asiba-asiba-jane-dine-ta-1
A  B  C  D  E  F  G Bhabigee O - Bhabigee,Trupti Das|Debasis Mahapatro|MANOHAR UDASH,/artist/trupti-das|/artist/debasis-mahapatro|/artist/manohar-udash,08:00,https://gaana.com//song/a-b-c-d-e-f-g-bhabigee-o-bhabigee
