name,singer,singer_id,duration,link
Bheegi Bheegi Raaton Mein,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,03:54,https://gaana.com//song/bheegi-bheegi-raaton-mein
Aap Ki Ankhon Mein Kuch,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,04:09,https://gaana.com//song/aap-ki-ankhon-mein-kuchh
Tum Aa Gaye Ho Noor Aa Gaya,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,04:13,https://gaana.com//song/tum-aa-gaye-ho-noor-aa-gaya
Hamen Tumse Pyar Kitna,Kishore Kumar,/artist/kishore-kumar,04:02,https://gaana.com//song/hamen-tumse-pyar-kitna-2
Tere Bina Zindagi Se,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,05:54,https://gaana.com//song/tere-bina-zindagi-se-1
Kora Kagaz Tha Yeh Man Mera,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,05:39,https://gaana.com//song/kora-kagaz-tha-yeh-man-mera-1
Lag Ja Gale Se Phir,Lata Mangeshkar,/artist/lata-mangeshkar,04:18,https://gaana.com//song/lag-ja-gale-se-phir
Ae Mere Humsafar,Udit Narayan|Alka Yagnik,/artist/udit-narayan|/artist/alka-yagnik,05:56,https://gaana.com//song/ey-mere-humsafar
Ek Ajnabee Haseena Se,Kishore Kumar,/artist/kishore-kumar,04:27,https://gaana.com//song/ek-ajnabee-haseena-se-1
Tere Mere Milan Ki Yeh Raina,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,04:55,https://gaana.com//song/tere-mere-milan-ki-yeh-raina
Are Jane Kaise Kab Kahan Iqrar,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,05:39,https://gaana.com//song/are-jane-kaise-kab-kahan-iqrar
Abhi Na Jao Chhod Kar,Asha Bhosle|Mohammed Rafi,/artist/asha-bhosle-1|/artist/mohammad-rafi,04:18,https://gaana.com//song/abhi-na-jao-chhod-kar-2
O Mere Dil Ke Chain,Kishore Kumar,/artist/kishore-kumar,04:34,https://gaana.com//song/o-mere-dil-ke-chain
Tum Ko Dekha To Yeh Khayal Aaya,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,04:51,https://gaana.com//song/tum-ko-dekha-to-yeh-khayal-aaya
Chura Liya Hai Tumne Jo Dil Ko,Mohammed Rafi|Asha Bhosle,/artist/mohammad-rafi|/artist/asha-bhosle-1,04:47,https://gaana.com//song/chura-liya-hai-tumne-jo-dil-ko-3
Dekha Ek Khwaab,Lata Mangeshkar|Kishore Kumar,/artist/lata-mangeshkar|/artist/kishore-kumar,05:21,https://gaana.com//song/dekha-ek-khwaab
Tere Chehre Se Nazar Nahin,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,05:03,https://gaana.com//song/tere-chehre-se-nazar-nahin
Yeh Sham Mastani,Kishore Kumar,/artist/kishore-kumar,04:37,https://gaana.com//song/yeh-sham-mastani
Hum Dono Do Premi,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,05:08,https://gaana.com//song/hum-dono-do-premi-1
