name,singer,singer_id,duration,link
Pehle Lalkare Naal,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,03:31,https://gaana.com//song/pehle-lalkare-naal-main-dar-gai
Sharbat Wangu Ghut Bhar Lan,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,04:24,https://gaana.com//song/sharbat-wango-ghut-bhar-le
Jija Lak Minle,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,02:42,https://gaana.com//song/jija-lak-minle
Laija Kithe Door,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,05:51,https://gaana.com//song/lai-ja-kithe-door
Das Meriya Dilwarave,Asha Bhosle|Mohammed Rafi,/artist/asha-bhosle-1|/artist/mohammad-rafi,06:18,https://gaana.com//song/das-meriya-dilwarave
Dhokha Nahin Kamaida,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,04:28,https://gaana.com//song/dhokha-nahin-kamai-da-1
Sikhar Dupehre Nahaundi Si,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,04:18,https://gaana.com//song/shikhar-dupehre-naundi-see
Dhokha Nahin Kamaida,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,04:28,https://gaana.com//song/dhokha-nahin-kamai-da
Dat Khol Mitra,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,03:17,https://gaana.com//song/dat-khol-mitra
Bhul Gai Main Ghund Kadna,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,03:34,https://gaana.com//song/bhul-gai-main-ghund-kadna
Bach Ke Reha Kar Tun Nakro,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,03:59,https://gaana.com//song/bach-ke-reha-kar-tun-nakro
Kaali Teri Gut - Punjabi Geet,Asa Singh Mastana,/artist/asa-singh-mastana,03:01,https://gaana.com//song/kaali-teri-gut-punjabi-geet
Kala Doria,Surinder Kaur|Parkash Kaur,/artist/surinder-kaur|/artist/parkash-kaur,02:57,https://gaana.com//song/kala-doriya
Lara Lappa Lai Rakhdi,Kuldeep Manak,/artist/kuldeep-manak,02:58,https://gaana.com//song/lara-lappa-lai-rakhdi
Chand Kithe Gujari Ai Raat - Punjabi Lok Geet,Surinder Kaur,/artist/surinder-kaur,03:17,https://gaana.com//song/chand-kithe-gujari-ai-raat-punjabi-lok-geet
Aa Mundiya Ve Tu,Ranjit Kaur|Mohd. Sadiq,/artist/ranjit-kaur|/artist/mohd-sadiq,03:08,https://gaana.com//song/aa-mundiya-ve-toon
Aakh Ladi Ve Ladi,Mohammed Rafi|Shamshad Begum,/artist/mohammad-rafi|/artist/shamshad-begum,06:03,https://gaana.com//song/aakh-ladi-ve-ladi
Gabroo Ho Len De,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,03:38,https://gaana.com//song/gabroo-ho-len-de
Sas Gode Thale Lai Layi,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,04:29,https://gaana.com//song/sas-gode-thale-lai-layi
Put Bana Ke Chhadange,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,03:38,https://gaana.com//song/put-bana-ke-chhadange
