name,singer,singer_id,duration,link
Pallo Latka,Rehana Mirza|Shamim|Om Pawar|Shiv Ram|Master Alauddin|Shobha Purohitanand Kuar,/artist/rehana-mirza|/artist/shamim|/artist/om-pawar|/artist/shiv-ram|/artist/master-alauddin-11|/artist/shobha-purohitanand-kuar-7,03:33,https://gaana.com//song/pallo-latka
Roomal,Rehana Mirza,/artist/rehana-mirza,04:56,https://gaana.com//song/roomal-instrumental
Dhak Kagliya,Rehana Mirza,/artist/rehana-mirza,04:36,https://gaana.com//song/dhak-kagliya
Beero Bhaat Bharan,Anuradha Paudwal,/artist/anuradha-paudwal-2,05:00,https://gaana.com//song/beero-bhaat-bharan
Nimbuda,Bundu Khan Langa|Party,/artist/bundu-khan-langa|/artist/party,05:59,https://gaana.com//song/nimbuda
Anjan Ki Siti Men,Rehana Mirza,/artist/rehana-mirza,03:37,https://gaana.com//song/anjan-ki-siti-men
Thumko,Ikram Rajasthani|Aruna Sharma,/artist/ikram-rajasthani|/artist/aruna-sharma,04:44,https://gaana.com//song/thumko-3
Veer Tejaji Part 01,Mohan Maharaj Nimbarak|Sadhana Bhaduri,/artist/mohan-maharaj-nimbarak|/artist/sadhana-bhaduri,23:23,https://gaana.com//song/veer-tejaji-pt-1
Marodya Laje Re Baju Dal Bangri,Saraswati Devi Dhandra,/artist/saraswati-devi-dhandra-3,03:37,https://gaana.com//song/marodya-laje-re-baju-dal-bangri
Dil Deewano,Alka Yagnik,/artist/alka-yagnik,05:28,https://gaana.com//song/dil-deewano
Baba Ramdev,Moti Lal Bohra|Anand Kaur Bohra|Shobha Purohit|Gopal Lal Vohra|Shamim Khan,/artist/moti-lal-bohra|/artist/anand-kaur-bohra-1|/artist/shobha-purohit|/artist/gopal-lal-vohra|/artist/shamim-khan,05:59,https://gaana.com//song/baba-ramdev-3
Vaishnav Jan To,Suresh Wadkar,/artist/suresh-wadkar,04:00,https://gaana.com//song/vaishnav-jan-to-18
Soowatia,Shmim Khan,/artist/shmim-khan-1,03:22,https://gaana.com//song/soowatia
Bana Re Baga Main,Shilpi Mathur|Sanjay Raizada|Sarsthi Mathur,/artist/shilpi-mathur|/artist/sanjay-raizada|/artist/sarsthi-mathur,05:09,https://gaana.com//song/bana-re-baga-main
Ghumar Ghumar Ghar Aave,Mehdi Hassan,/artist/mehdi-hassan,08:08,https://gaana.com//song/ghumar-ghumar-ghar-aave
Mahavir Hanuman Ji,Urmila Khanna|Chunni Jaipuri|Mehrunissa|Mohan Singh Itawa|Tej Karan Rao|Hunuman Sahai|Kalyan Sahai Sharma,/artist/urmila-khanna|/artist/chunni-jaipuri-3|/artist/mehrunissa-1|/artist/mohan-singh-itawa|/artist/tej-karan-rao|/artist/hunuman-sahai|/artist/kalyan-sahai-sharma,03:17,https://gaana.com//song/mahavir-hanuman-ji
Biro Jee Aaya Bharan,Anuradha Paudwal,/artist/anuradha-paudwal-2,04:00,https://gaana.com//song/biro-jee-aaya-bharan
Rupeeda,Khiya Ram|Prabhati,/artist/khiya-ram|/artist/prabhati,02:03,https://gaana.com//song/rupeeda
Natwar Naagar,Anand Kumar,/artist/anand-kumar,02:00,https://gaana.com//song/natwar-naagar
Kesariya Balam,Allah Jilai Bai,/artist/allah-jilai-bai,06:38,https://gaana.com//song/kesariya-balam
Piya Ki Najar Mhare Kajal Men,Rajni Pandey,/artist/rajni-pandey,03:42,https://gaana.com//song/piya-ki-najar-mhare-kajal
Choti See Umar,Anuradha Paudwal|Shabbir Kumar|Saathi,/artist/anuradha-paudwal-2|/artist/shabbir-kumar|/artist/saathi,07:00,https://gaana.com//song/choti-see-umar
Bhomiaji,Kavi Bhagwan Sahai Sen|Party,/artist/kavi-bhagwan-sahai-sen|/artist/party,03:35,https://gaana.com//song/bhomiaji
Aaja Shaam Hone Aaee - Duet,Alka Yagnik|Sameer Date,/artist/alka-yagnik|/artist/sameer-date,04:43,https://gaana.com//song/aaja-shaam-hone-aaee-1
Khamma Khamma,Mahendra Kapoor,/artist/mahendra-kapoor,05:22,https://gaana.com//song/khamma-khamma-4
Ude Re Mahari Chirakli,Parmar|Parman,/artist/parmar|/artist/parman-1,03:49,https://gaana.com//song/ude-re-mahari-chirakli
Helo Suno Rama Peerji,Badruddin|Ikram Rajasthani|Mohan Singh|Parveen Mirza|Rehana Mirza|Moti Lal Bohra|Chunni Jaipuri,/artist/badruddin|/artist/ikram-rajasthani|/artist/mohan-singh|/artist/parveen-mirza|/artist/rehana-mirza|/artist/moti-lal-bohra|/artist/chunni-jaipuri-8,05:24,https://gaana.com//song/helo-suno-rama-peerji
Bai Sara Beera,Allah Jilai Bai,/artist/allah-jilai-bai,04:52,https://gaana.com//song/bai-sara-beera
Roomal,Bachu Khan|Idu Khan|Kohinoor,/artist/bachu-khan|/artist/idu-khan|/artist/kohinoor,03:35,https://gaana.com//song/roomal-3
Banna Re Bagan Main,Suresh Wadkar|Saraswati Devi,/artist/suresh-wadkar|/artist/saraswati-devi,04:00,https://gaana.com//song/banna-re-bagan-main
Kanahiya Pyara Daras Dikha,Suresh Wadkar,/artist/suresh-wadkar,05:00,https://gaana.com//song/kanahiya-pyara-daras-dikha
Dhak Dhak Hove Chhe,Aruna Sharma|Ikram Rajasthani,/artist/aruna-sharma|/artist/ikram-rajasthani,05:00,https://gaana.com//song/dhak-dhak-hove-chhe
Helo Maaro Sunle,Jai Shree Shiv Ram,/artist/jai-shree-shiv-ram,03:00,https://gaana.com//song/helo-maaro-sunle
Helo Suno Rama Peerji,Moti Lal Bohra|Anand Kaur Bohra|Shobha Purohit|Gopal Lal Vohra|Shamim Khan,/artist/moti-lal-bohra|/artist/anand-kaur-bohra-1|/artist/shobha-purohit|/artist/gopal-lal-vohra|/artist/shamim-khan,05:20,https://gaana.com//song/helo-suno-rama-peerji-1
Upar Kaanch Ko Banglow,Alka Yagnik|Jaspal Singh,/artist/alka-yagnik|/artist/jaspal-singh,05:00,https://gaana.com//song/upar-kaanch-ko-banglow
Jodhame Ki Naar,Sanwar Lal Ranga,/artist/sanwar-lal-ranga,03:53,https://gaana.com//song/jodhame-ki-naar
Chhori Nakhrali,Rehana Mirza|Ikram Rajasthani,/artist/rehana-mirza|/artist/ikram-rajasthani,02:46,https://gaana.com//song/chhori-nakhrali
Panihari,Shilpi Mathur|Sarsthi Mathur,/artist/shilpi-mathur|/artist/sarsthi-mathur,11:23,https://gaana.com//song/panihari-12
Govinda Bolo,Anand Kumar,/artist/anand-kumar,03:00,https://gaana.com//song/govinda-bolo
Moomal,Allah Jilai Bai,/artist/allah-jilai-bai,09:08,https://gaana.com//song/moomal
Sahib Ji Lardini Chundri,Dalpat Dangi|Rehana Mirza,/artist/dalpat-dangi|/artist/rehana-mirza,03:58,https://gaana.com//song/sahib-ji-lardini-chundri
Oji Mahra Ran Baanka Sirdar,Usha Mangeshkar,/artist/usha-mangeshkar-2,06:09,https://gaana.com//song/oji-mahra-ran-baanka-sirdar
Aisi Kayin Bindni Ayee Re,Rehana Mirza|Shamim|Om Pawar|Shiv Ram|Master Alauddin|Shobha Purohitanand Kuar,/artist/rehana-mirza|/artist/shamim|/artist/om-pawar|/artist/shiv-ram|/artist/master-alauddin-10|/artist/shobha-purohitanand-kuar-6,03:24,https://gaana.com//song/ase-kaya-beenadni-aye-re
Mhare Rang Mein Rangane Wali,Sameer Date,/artist/sameer-date,06:39,https://gaana.com//song/mhare-rang-mein-rangane-wali
Tum Dholakri Baja De Re,Mahendra Kapoor|Sarita Goswami|Gyanesh Wari Sharma,/artist/mahendra-kapoor|/artist/sarita-goswami|/artist/gyanesh-wari-sharma-3,03:02,https://gaana.com//song/tum-dholakri-baja-de-re
Koi Naa Sune Myhari,Anuradha Paudwal,/artist/anuradha-paudwal-2,06:00,https://gaana.com//song/koi-naa-sune-myhari
Kaanha Re Girdhari Part 2,Suresh Wadkar,/artist/suresh-wadkar,04:00,https://gaana.com//song/kaanha-re-girdhari-part-2
Kawaron Tabario,Kaluram Prajapati,/artist/kaluram-prajapati,05:32,https://gaana.com//song/kawaron-tabario
Bhajman Raadhe Govinda,Anand Kumar,/artist/anand-kumar,01:00,https://gaana.com//song/bhajman-raadhe-govinda
Jeeja Saali,Rehana Mirza|Shamim|Om Pawar|Shiv Ram|Master Alauddin|Shobha Purohitanand Kuar,/artist/rehana-mirza|/artist/shamim|/artist/om-pawar|/artist/shiv-ram|/artist/master-alauddin-9|/artist/shobha-purohitanand-kuar-5,03:18,https://gaana.com//song/jija-sali-1
Aayo Myhara Natwar,Suresh Wadkar,/artist/suresh-wadkar,06:00,https://gaana.com//song/aayo-myhara-natwar
Aarti Pichham Dhara Su,Rajkamal,/artist/rajkamal,04:30,https://gaana.com//song/aarti-pichham-dhara-su
Bajoorhe Ri Loom,Shamim Khan,/artist/shamim-khan,03:52,https://gaana.com//song/bajoorhe-ri-loom
Talriya Maagriya Re,Anuradha Paudwal,/artist/anuradha-paudwal-2,05:00,https://gaana.com//song/talriya-maagriya-re
Veer Tejaji Part 02,Mohan Maharaj Nimbarak|Sadhana Bhaduri,/artist/mohan-maharaj-nimbarak|/artist/sadhana-bhaduri,23:23,https://gaana.com//song/veer-tejaji-pt-2
Mhare Hivde Ro Har,Mahendra Kapoor|Sarita Goswami|Gyanesh Wari Sharma,/artist/mahendra-kapoor|/artist/sarita-goswami|/artist/gyanesh-wari-sharma-5,05:53,https://gaana.com//song/mhare-hivde-ro-har
Chhaje Re Chhaje Naubat Baaje,Chandrani Mukherjee|Dilraj Kaur|Sudha Malhotra,/artist/chandrani-mukherjee|/artist/dilraj-kaur|/artist/sudha-malhotra,04:09,https://gaana.com//song/chhaje-re-chhaje-naubat-baaje-binayak
Kesriya Balam,Anuradha Prakash|Supriya,/artist/anuradha-prakash|/artist/supriya,10:20,https://gaana.com//song/kesriya-balam
Narsi Ki Naiya,Suresh Wadkar,/artist/suresh-wadkar,07:00,https://gaana.com//song/narsi-ki-naiya
Thari Leela Aparampar,Urmila Khanna|Chunni Jaipuri|Mehrunissa|Mohan Singh Itawa|Tej Karan Rao|Hunuman Sahai|Kalyan Sahai Sharma,/artist/urmila-khanna|/artist/chunni-jaipuri-3|/artist/mehrunissa-1|/artist/mohan-singh-itawa|/artist/tej-karan-rao|/artist/hunuman-sahai|/artist/kalyan-sahai-sharma,02:58,https://gaana.com//song/thari-leela-aparampar
Aayo Mausam Dosti Ro,Alka Yagnik|Sameer Date,/artist/alka-yagnik|/artist/sameer-date,06:42,https://gaana.com//song/aayo-mausam-dosti-ro
Gorbandh,Shobha Purohit,/artist/shobha-purohit,03:35,https://gaana.com//song/gorbandh
Kesriya Balma,Chhoti Bano Sikarwali,/artist/chhoti-bano-sikarwali,03:38,https://gaana.com//song/kesriya-balma
Baba Ram Devji,Badruddin|Ikram Rajasthani|Mohan Singh|Parveen Mirza|Rehana Mirza|Moti Lal Bohra|Chunni Jaipuri,/artist/badruddin|/artist/ikram-rajasthani|/artist/mohan-singh|/artist/parveen-mirza|/artist/rehana-mirza|/artist/moti-lal-bohra|/artist/chunni-jaipuri-7,05:46,https://gaana.com//song/baba-ram-devji-aarti
Gangor,Shobha Purohit,/artist/shobha-purohit,03:32,https://gaana.com//song/gangor
Toraniye Aay Ne Ooba Rijo,Kushal Barath|Sathi,/artist/kushal-barath|/artist/sathi,08:37,https://gaana.com//song/toraniye-aay-ne-ooba-rijo
Badla Looni Kachehri Men,Shamim Khan,/artist/shamim-khan,04:11,https://gaana.com//song/badla-looni-kachehri-men
Baabul Thari Ladal Beti,Anuradha Paudwal,/artist/anuradha-paudwal-2,06:00,https://gaana.com//song/baabul-thari-ladal-beti
Beera Re,Anuradha Paudwal,/artist/anuradha-paudwal-2,05:00,https://gaana.com//song/beera-re
Aatan Jaatan Hanstan Gaatan,Alka Yagnik|Sameer Date,/artist/alka-yagnik|/artist/sameer-date,03:27,https://gaana.com//song/aatan-jaatan-hanstan-gaatan
Tharo Bharoso Bhari Re,Usha Mangeshkar,/artist/usha-mangeshkar-2,04:09,https://gaana.com//song/tharo-bharoso-bhari-re
Thare Tevto Gharhai Doon,Kaluram Prajapati|Shamim Khan,/artist/kaluram-prajapati|/artist/shamim-khan,03:31,https://gaana.com//song/thare-tevto-gharhai-doon
Hello Sun Jo,Suresh Wadkar|Suraj Dadhich,/artist/suresh-wadkar|/artist/suraj-dadhich,05:00,https://gaana.com//song/hello-sun-jo
Dil Deewano - Part,Alka Yagnik|Sameer Date,/artist/alka-yagnik|/artist/sameer-date,01:01,https://gaana.com//song/dil-deewano-part
Lebane Aago Re,Rehana Mirza|Ikram Rajasthani,/artist/rehana-mirza|/artist/ikram-rajasthani,02:49,https://gaana.com//song/lebane-aago-re
Dhola Dhol Majira Baje,Shamim Khan,/artist/shamim-khan,03:00,https://gaana.com//song/dhola-dhol-majira-baje
Shri Ramdev Peer Ra Shay Pasta,Mahendra Kapoor,/artist/mahendra-kapoor,29:33,https://gaana.com//song/shri-ramdev-peer-ra-shay-pasta
Lehariyo,Seema Mishra,/artist/seema-mishra,07:40,https://gaana.com//song/lehariyo
Kulakhna Ki Raand,Rehana Mirza|Shamim|Om Pawar|Shiv Ram|Master Alauddin|Shobha Purohitanand Kuar,/artist/rehana-mirza|/artist/shamim|/artist/om-pawar|/artist/shiv-ram|/artist/master-alauddin-8|/artist/shobha-purohitanand-kuar-4,03:01,https://gaana.com//song/kulkhana-ki-raand
Rang Rasiya Re,Suresh Wadkar|Alka Yagnik,/artist/suresh-wadkar|/artist/alka-yagnik,05:00,https://gaana.com//song/rang-rasiya-re
Roopiyo To Le Main,Anupama Deshpande|Jaspal Singh,/artist/anupama-deshpande|/artist/jaspal-singh,03:00,https://gaana.com//song/roopiyo-to-le-main
Main To Pyar Karyo,Alka Yagnik|Sameer Date,/artist/alka-yagnik|/artist/sameer-date,05:58,https://gaana.com//song/main-to-pyar-karyo
Diggi Puri Ka Raja,Subhash Todwal|R.P. Nag,/artist/subhash-todwal|/artist/rp-nag,05:31,https://gaana.com//song/diggi-puri-ka-raja
Mhara The Dhani Ho Gopal,Asha Bhosle|Mahendra Kapoor,/artist/asha-bhosle-1|/artist/mahendra-kapoor,04:03,https://gaana.com//song/mhara-the-hi-dhani-ho-gopal
Chhori Jhunjhuna Wali,Ikram Rajasthani,/artist/ikram-rajasthani,04:13,https://gaana.com//song/chhori-jhunjhuna-wali
Chand Jero Mukhro,Kaluram Prajapati|Shamim Khan,/artist/kaluram-prajapati|/artist/shamim-khan,03:05,https://gaana.com//song/chand-jero-mukhro
Laambi Si Loogai,Master Alauddin,/artist/master-alauddin-5,02:22,https://gaana.com//song/laambi-si-loogai
Kaanha Re Girdhari-Part - 1,Suresh Wadkar|Anand Kumar,/artist/suresh-wadkar|/artist/anand-kumar,04:00,https://gaana.com//song/kaanha-re-girdhari-part-1
Payal Ki Jhankar,Kamla Goel,/artist/kamla-goel,03:21,https://gaana.com//song/payal-ki-jhankar
Gujari Dene Lagi Tana,Anup Jalota|Shakuntala Joshi,/artist/anup-jalota|/artist/shakuntala-joshi,10:16,https://gaana.com//song/gujari-dene-lagi-tana
Ud Ud Re Mahara Kala Re Kagla,Rehana Mirza,/artist/rehana-mirza,03:12,https://gaana.com//song/ud-ud-re-mahara-kala-re-kagla
Bhaat Nyutan Aai,Chandrani Mukherjee|Sudha Malhotra,/artist/chandrani-mukherjee|/artist/sudha-malhotra,05:01,https://gaana.com//song/bhaat-nyutan-aai-bhaat
Balam Chhoto So,Kaluram Prajapati|Shamim Khan,/artist/kaluram-prajapati|/artist/shamim-khan,03:16,https://gaana.com//song/balam-chhoto-so-4
Gale Mein Hone Ro Doro,Ramila Gahlot|Pushpa Gahlot,/artist/ramila-gahlot|/artist/pushpa-gahlot,04:00,https://gaana.com//song/gale-mein-hone-ro-doro
Mor Bole Re,Moti Lal Bohra,/artist/moti-lal-bohra,03:17,https://gaana.com//song/mor-bole-re
Kavai Thasun Saajana,Alka Yagnik,/artist/alka-yagnik,05:44,https://gaana.com//song/kavai-thasun-saajana
Dhola Ji Dhola Kaeen Karo Sahelyo,Chandrani Mukherjee|Dilraj Kaur|Sudha Malhotra,/artist/chandrani-mukherjee|/artist/dilraj-kaur|/artist/sudha-malhotra,04:15,https://gaana.com//song/dhola-ji-dhola-kaeen-karo-sahelyo-biyana
Maharaja Bharat Hari,Chunni Jaipuri|dayal pawar,/artist/chunni-jaipuri-3|/artist/dayal-pawar,05:41,https://gaana.com//song/maharaja-bharat-hari
Dandi Dandi Chalti Re,Shamim Khan,/artist/shamim-khan,03:15,https://gaana.com//song/dandi-dandi-chalti-re
O Re Dhola,Ila Arun|Chorus,/artist/ila-arun|/artist/chorus,06:16,https://gaana.com//song/o-re-dhola
Aarti,Rehana Mirza|Chunni Jaipuri|Parveen Mirza|Mohan Singh|Ikram Rajasthani|Badruddin|Moti Lal Bohra,/artist/rehana-mirza|/artist/chunni-jaipuri-3|/artist/parveen-mirza|/artist/mohan-singh|/artist/ikram-rajasthani|/artist/badruddin|/artist/moti-lal-bohra,06:01,https://gaana.com//song/aarti-266
Kallali,Allah Jilai Bai,/artist/allah-jilai-bai,11:01,https://gaana.com//song/kallali
Hath Men Choorhi,Badruddin,/artist/badruddin,03:36,https://gaana.com//song/hath-men-choorhi
Ooncho Ooncho Ghaghro,Alka Yagnik,/artist/alka-yagnik,04:00,https://gaana.com//song/ooncho-ooncho-ghaghro
Baba Ramdeo Ji Ri Mahima,Asha Bhosle|Mahendra Kapoor,/artist/asha-bhosle-1|/artist/mahendra-kapoor,06:21,https://gaana.com//song/baba-ramdeo-ji-ri-mahima
Nanad Bhabhi Ri Chheda Chhedi,Dilraj Kaur|Jyoti,/artist/dilraj-kaur|/artist/jyoti,03:43,https://gaana.com//song/nanad-bhabhi-ri-chheda-chhedi
Hello,Rajkamal,/artist/rajkamal,07:34,https://gaana.com//song/hello-1222
Gadi Chaale Hai Aari Aari,Shakuntala Joshi,/artist/shakuntala-joshi,05:55,https://gaana.com//song/gadi-chaale-hai-aari-aari
Pachhe Mhen Kyun Jawa Pardes,Kaluram Prajapati,/artist/kaluram-prajapati,04:42,https://gaana.com//song/pachhe-mhen-kyun-jawa-pardes
Halo Halo Runeche Haalan,Asha Bhosle|Mahendra Kapoor,/artist/asha-bhosle-1|/artist/mahendra-kapoor,05:45,https://gaana.com//song/halo-halo-runeche-haalan
Jimo Jimo Mhara Madan Gopal,Anuradha Paudwal,/artist/anuradha-paudwal-2,04:04,https://gaana.com//song/jimo-jimo-mhara-madan-gopal
Mhari Haldi Ro Rang Surang,Kushal Barath|Sathi,/artist/kushal-barath|/artist/sathi,05:09,https://gaana.com//song/mhari-haldi-ro-rang-surang
Mere Haath Mein Chudla Khanke,Ila Arun,/artist/ila-arun,04:08,https://gaana.com//song/mere-haath-mein-chudla-khanke
Bankhand Ki Koyal,Sudha Malhotra,/artist/sudha-malhotra,06:19,https://gaana.com//song/bankhand-ki-koyal-bidai
Gori Gaon Ri Jawe,Badruddin|Shamim Khan,/artist/badruddin|/artist/shamim-khan,03:37,https://gaana.com//song/gori-gaon-ri-jawe
Baja Baja Re Sapera Been Hole Hole,Mohammad Aziz|Anuradha Paudwal,/artist/mohammad-aziz|/artist/anuradha-paudwal-2,06:00,https://gaana.com//song/baja-baja-re-sapera-been-hole-hole
