name,singer,singer_id,duration,link
Induvadana,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:21,https://gaana.com//song/induvadana
Manchu Kurise,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:05,https://gaana.com//song/manchu-kurise
Yureka,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:15,https://gaana.com//song/yureka
Keeravani,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:15,https://gaana.com//song/keeravani
Are Emaindhi,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:33,https://gaana.com//song/are-emaindhi
Tella Cheeraku,S. P. Balasubrahmanyam|Lata Mangeshkar,/artist/s-p-balasubrahamanyam|/artist/lata-mangeshkar,04:44,https://gaana.com//song/tella-cheeraku
Guvva Gorinka Tho,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:31,https://gaana.com//song/guvva-gorinka-tho
Kashmiri Loyalo,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:32,https://gaana.com//song/kashmiri-loyalo
Karigipoyanu,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:29,https://gaana.com//song/karigipoyanu
Prema Entha,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:08,https://gaana.com//song/prema-entha
Banti Chamanti,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:39,https://gaana.com//song/banti-chamanti
O Priya,K. S. Chithra|S. P. Balasubrahmanyam,/artist/chitra|/artist/s-p-balasubrahamanyam,05:44,https://gaana.com//song/o-priya-6
Suvvi Suvvi,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,05:42,https://gaana.com//song/suvvi-suvvi-10
Premaledani,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:33,https://gaana.com//song/premaledani
O Papa Lali,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:27,https://gaana.com//song/o-papa-lali
Ade Neevu,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:30,https://gaana.com//song/ade-neevu
Sande Poddula,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:26,https://gaana.com//song/sande-poddula
Malli Malli,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:30,https://gaana.com//song/malli-malli-9
Kokila,S. P. Balasubrahmanyam|K. S. Chithra,/artist/s-p-balasubrahamanyam|/artist/chitra,05:48,https://gaana.com//song/kokila-5
Aamani,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:36,https://gaana.com//song/aamani
Paara Hushar,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,06:12,https://gaana.com//song/paara-hushar
Eduta Neeve,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:15,https://gaana.com//song/eduta-neeve
Theeganai Mallenai,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:22,https://gaana.com//song/theeganai-mallenai
Nammaku Nammaku,S P Balasubrahamanyam,/artist/s-p-balasubrahamanyam,05:32,https://gaana.com//song/nammaku-nammaku-1
Vatapatra (Happy),P. Susheela,/artist/p-suseela-2,04:32,https://gaana.com//song/vatapatra-happy
Jivvumani Kondagali,Mano|S. Janaki,/artist/mano|/artist/s-janaki,04:35,https://gaana.com//song/jivvumani-kondagali
Eenade Edo,S. P. Balasubrahmanyam|K. S. Chithra,/artist/s-p-balasubrahamanyam|/artist/chitra,04:28,https://gaana.com//song/eenade-edo
Andam Hindolam,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:48,https://gaana.com//song/andam-hindolam
Om Namaha,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:03,https://gaana.com//song/om-namaha-3
Ee Gaali Ee Vela,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,06:49,https://gaana.com//song/ee-gaali-ee-vela
Acha Acha,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:28,https://gaana.com//song/acha-acha-1
Swathi Muthyapu,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,06:12,https://gaana.com//song/swathi-muthyapu
Merupula La La,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:07,https://gaana.com//song/merupula-la-la
Thakita Thadhimi,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:30,https://gaana.com//song/thakita-thadhimi-9
Vanajallu Gillutunte,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:43,https://gaana.com//song/vanajallu-gillutunte
Nannu Dochu Kunduvatey,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,03:26,https://gaana.com//song/nannu-dochu-kunduvatey
Kottandi Thittandi,S. P. Balasubrahmanyam|K. S. Chithra,/artist/s-p-balasubrahamanyam|/artist/chitra,04:43,https://gaana.com//song/kottandi-thittandi
Kurise Verijallule,S. P. Balasubrahmanyam|Vani Jairam,/artist/s-p-balasubrahamanyam|/artist/vani-jayaram,04:39,https://gaana.com//song/kurise-verijallule
Aadhi Bikshuvu,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:11,https://gaana.com//song/aadhi-bikshuvu
Jallantha,K. S. Chithra,/artist/chitra,04:08,https://gaana.com//song/jallantha
Prema Lekha,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:50,https://gaana.com//song/prema-lekha
